Unnamed: 0,recipe_name,prep_time,cook_time,total_time,ingredients,directions,rating,cuisine_path,nutrition,img_src
11,Apple Crisp - Perfect and Easy,20 mins,40 mins,1 hrs,"2 ½ cups apples - peeled, cored, and sliced, 1 cup sifted all-purpose flour, 1 cup white sugar, ½ teaspoon ground cinnamon, ¼ teaspoon salt, ½ cup butter, softened","Preheat the oven to 375 degrees F (190 degrees C). Lightly grease an 8-inch square baking dish.
Arrange apple slices evenly in the prepared baking dish. Sift flour, sugar, cinnamon, and salt into a bowl. Cut in butter using a pastry blender, or 2 knives, until mixture resembles coarse cornmeal; sprinkle over apples.
Bake in the preheated oven until topping is golden, 40 to 45 minutes. Cool slightly before serving.











naples34102
",4.7,/Desserts/Crisps and Crumbles Recipes/Apple Crisps and Crumbles Recipes/,"Total Fat 16g 20%, Saturated Fat 10g 49%, Cholesterol 41mg 14%, Sodium 207mg 9%, Total Carbohydrate 56g 20%, Dietary Fiber 2g 6%, Total Sugars 38g, Protein 2g, Vitamin C 2mg 11%, Calcium 13mg 1%, Iron 1mg 6%, Potassium 77mg 2%",https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg
12,The Best Caramel Apples,15 mins,30 mins,2 hrs 15 mins,"8 large tart apples, 8  wooden chopsticks for handles, 2 cups packed brown sugar, 1 (14 ounce) can sweetened condensed milk, 1 cup light corn syrup, 1 cup butter, 2 teaspoons vanilla extract","Bring a large saucepan of water to a boil. Dip apples in boiling water for a few seconds, using a slotted spoon, then dry with paper towels to remove any wax from the peels. Set apples aside to cool completely, about 30 minutes.
Insert sticks into the bottom of each cooled apple through the core for a handle.
Line a baking sheet with parchment paper.
Stir brown sugar, sweetened condensed milk, corn syrup, and butter together in a saucepan over medium-high heat. Bring to a boil, stirring constantly, then reduce heat to medium. Cook until a candy thermometer reads 248 degrees F (120 degrees C), stirring constantly to prevent burning, about 25 to 30 minutes. A teaspoon of caramel dropped in a glass of cold water, should form a firm ball. Remove caramel from heat and stir in vanilla extract.
Working quickly, dip each apple into the hot caramel to completely coat the apple and about 1/2 inch of the wooden handle. Sprinkle apples with any desired toppings while still hot. Let caramel apples cool on the prepared baking sheet, about 1 hour. Use caution, caramel is very hot.",4.5,/Desserts/Specialty Dessert Recipes/Caramel Apple Recipes/,"Total Fat 28g 35%, Saturated Fat 17g 87%, Cholesterol 78mg 26%, Sodium 269mg 12%, Total Carbohydrate 142g 51%, Dietary Fiber 5g 18%, Total Sugars 113g, Protein 5g, Vitamin C 11mg 55%, Calcium 210mg 16%, Iron 1mg 4%, Potassium 491mg 10%",https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg
13,Mulligatawny Soup,20 mins,1 hrs,1 hrs 20 mins,"½ cup chopped onion, 2 stalks celery, chopped, 1  carrot, diced, ¼ cup butter, 1 ½ tablespoons all-purpose flour, 1 ½ teaspoons curry powder, 4 cups chicken broth, ½  apple, cored and chopped, ¼ cup white rice, 1  skinless, boneless chicken breast half - cut into cubes, 1 pinch dried thyme,   salt and ground black pepper to taste, ½ cup heavy cream, heated","Melt butter in a large soup pot over medium heat. Add onions, celery, and carrot and sauté until soft, 5 to 7 minutes. Add flour and curry, and cook 5 more minutes, stirring frequently. Add chicken broth, mix well, and bring to a boil. Reduce heat and simmer for about 30 minutes.
Add apple, rice, chicken, thyme, salt, and pepper. Simmer until rice is tender, 15 to 20 minutes.
Just before serving, stir in hot cream.











TheBritishBaker
",4.8,"/Soups, Stews and Chili Recipes/Soup Recipes/Chicken Soup Recipes/","Total Fat 16g 20%, Saturated Fat 10g 48%, Cholesterol 62mg 21%, Sodium 734mg 32%, Total Carbohydrate 14g 5%, Dietary Fiber 1g 5%, Total Sugars 3g, Protein 7g, Vitamin C 3mg 15%, Calcium 38mg 3%, Iron 1mg 6%, Potassium 186mg 4%",https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg
14,Sauteed Apples,5 mins,15 mins,20 mins,"¼ cup butter, 4 large tart apples - peeled, cored and sliced 1/4 inch thick, ½ cup cold water, 2 teaspoons cornstarch, ½ cup brown sugar, ½ teaspoon ground cinnamon","Melt butter in a large skillet or saucepan over medium heat; add apples and cook, stirring constantly, until almost tender, 6 to 7 minutes.
Mix water and cornstarch together in a small bowl until cornstarch is dissolved; pour over apples. Stir in brown sugar and cinnamon. Bring to a boil for 2 minutes, stirring occasionally. Remove from heat and serve warm.











dotdash meredith food studios
",4.8,/Side Dish/,"Total Fat 6g 8%, Saturated Fat 4g 19%, Cholesterol 15mg 5%, Sodium 45mg 2%, Total Carbohydrate 24g 9%, Dietary Fiber 3g 9%, Total Sugars 20g, Protein 0g, Vitamin C 5mg 25%, Calcium 18mg 1%, Iron 0mg 1%, Potassium 128mg 3%",https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg
15,Homemade Apple Cider,15 mins,3 hrs,7 hrs 15 mins,"10 large apples, quartered,   water, to cover, ¾ cup white sugar, 1 tablespoon ground cinnamon, 1 tablespoon ground allspice","Place apples in a large stockpot; cover with water by at least 2 inches. Stir in sugar, cinnamon, and allspice. Bring to a boil over medium-high heat. Boil, uncovered, for 1 hour. Reduce heat; cover and simmer for 2 hours.
Strain apple mixture through a fine-mesh sieve; discard solids. Drain cider again through a cheesecloth-lined sieve.
Refrigerate cider until cold, about 4 hours.











 LaDonna Langwell 
",4.4,/Drinks Recipes/Juice Recipes/,"Total Fat 0g 0%, Sodium 1mg 0%, Total Carbohydrate 22g 8%, Dietary Fiber 2g 9%, Total Sugars 18g, Protein 0g, Vitamin C 4mg 21%, Calcium 12mg 1%, Iron 0mg 1%, Potassium 98mg 2%",https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg
16,Canned Apple Pie Filling,30 mins,10 mins,1 hrs,"4 ½ cups white sugar, 1 cup cornstarch, 2 teaspoons ground cinnamon, ¼ teaspoon ground nutmeg, 10 cups water, 2 teaspoons salt, 3 tablespoons lemon juice, 2 drops yellow food coloring, 6 pounds apples","Mix sugar, cornstarch, cinnamon, and nutmeg in a large pan. Add water and salt and mix well. Bring to a boil and cook until thick and bubbly. Remove from heat and add lemon juice and food coloring.
Sterilize canning jars, lids, and rings by boiling them in a large pot of water.
Peel, core, and slice apples. Pack the sliced apples into hot canning jars, leaving a 1/2 inch of headspace.
Fill jars with hot syrup, and gently remove air bubbles with a knife.
Put lids on and process in a water bath canner for 20 minutes.",4.5,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 0g 0%, Sodium 85mg 4%, Total Carbohydrate 25g 9%, Dietary Fiber 1g 4%, Total Sugars 21g, Protein 0g, Vitamin C 3mg 13%, Calcium 5mg 0%, Iron 0mg 1%, Potassium 54mg 1%",https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg
17,Easy Apple Pie,20 mins,40 mins,1 hrs,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie, ¾ cup white sugar, or more to taste, 1 teaspoon ground cinnamon, 6 cups thinly sliced apples, 1 tablespoon butter","Preheat the oven to 450 degrees F (230 degrees C).
Line a 9-inch pie dish with one pastry crust; set second one aside.
Combine 3/4 cup sugar and cinnamon in a small bowl. Add more sugar if your apples are tart.
Layer apple slices in the prepared pie dish, sprinkling each layer with cinnamon-sugar mixture. Dot top layer with small pieces of butter. Cover with top crust.
Bake pie on the lowest rack of the preheated oven for 10 minutes. Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until golden brown and filling bubbles, 30 to 35 minutes more. Serve warm or cold.











dotdash meredith food studios
",4.6,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 9g 12%, Saturated Fat 3g 14%, Cholesterol 4mg 1%, Sodium 128mg 6%, Total Carbohydrate 42g 15%, Dietary Fiber 3g 11%, Total Sugars 29g, Protein 2g, Vitamin C 4mg 22%, Calcium 11mg 1%, Iron 1mg 4%, Potassium 117mg 2%",https://www.allrecipes.com/thmb/aZyGZaTNLn-ewSEGDwwmEOwrRNg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/12324-EasyApplePie-ddmfs-1x1-0016-c0401f8117954ba9a03c62ebba7f16af.jpg
18,Apple Crumb Pie,30 mins,50 mins,1 hrs 20 mins,"6 cups thinly sliced apples, 1 tablespoon lemon juice (Optional), ¾ cup white sugar, 2 tablespoons all-purpose flour, ½ teaspoon ground cinnamon, ⅛ teaspoon ground nutmeg, ½ cup raisins (Optional), ½ cup chopped walnuts (Optional), 1 (9 inch) pie shell, ½ cup all-purpose flour, ½ cup packed brown sugar, 3 tablespoons butter","Preheat the oven to 375 degrees F (190 degrees C).
Place sliced apples in a large bowl; sprinkle with lemon juice. Mix white sugar, 2 tablespoons flour, cinnamon, and nutmeg together in a small bowl; sprinkle mixture over apples and toss until evenly coated. Stir in raisins and walnuts; transfer mixture into pie shell.
Mix 1/2 cup flour and brown sugar together in a small bowl. Blend in butter with a fork until mixture is crumbly; sprinkle over apple filling. Cover top of pie loosely with aluminum foil.
Bake in the preheated oven for 25 minutes. Remove foil and bake until top is golden brown and filling is bubbly, about 25 to 30 minutes more. Cool on a wire rack before serving.",4.7,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 15g 19%, Saturated Fat 4g 20%, Cholesterol 11mg 4%, Sodium 139mg 6%, Total Carbohydrate 70g 25%, Dietary Fiber 4g 13%, Total Sugars 49g, Protein 4g, Vitamin C 6mg 28%, Calcium 37mg 3%, Iron 1mg 8%, Potassium 261mg 6%",https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg
19,Caramel Apples,8 mins,2 mins,25 mins,"6  apples, 6  wooden craft sticks,   cooking spray, 1 (14 ounce) package individually wrapped caramels, unwrapped, 2 tablespoons milk","Remove the stem from each apple and press a craft stick into the top. Spray a baking sheet with cooking spray.
Place caramels and milk in a microwave-safe bowl; microwave for 2 minutes, stirring once. Set aside to cool briefly.
Roll each apple quickly in caramel sauce until well coated. Place on prepared sheet to set.









",4.4,/Desserts/Specialty Dessert Recipes/Caramel Apple Recipes/,"Total Fat 6g 7%, Saturated Fat 2g 9%, Cholesterol 5mg 2%, Sodium 164mg 7%, Total Carbohydrate 70g 25%, Dietary Fiber 3g 12%, Total Sugars 57g, Protein 4g, Vitamin C 7mg 33%, Calcium 104mg 8%, Iron 0mg 2%, Potassium 295mg 6%",https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg
20,German Apple Cake,15 mins,45 mins,1 hrs,"1 cup vegetable oil, 2  eggs, 2 cups white sugar, 1 teaspoon vanilla extract, 2 cups all-purpose flour, 2 teaspoons ground cinnamon, 1 teaspoon baking soda, ½ teaspoon salt, 4 cups apples - peeled, cored and diced","Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch cake pan.
Beat oil and eggs in a mixing bowl with an electric mixer until creamy. Add sugar and vanilla; beat well.
Stir together flour, cinnamon, baking soda, and salt in a bowl. Slowly add flour mixture to egg mixture; mix until combined. The batter will be very thick. Fold in apples by hand using a wooden spoon. Spread batter into the prepared pan.
Bake cake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes. Cool cake on a wire rack.",4.6,/Cuisine/European/German/,"Total Fat 10g 12%, Saturated Fat 1g 7%, Cholesterol 16mg 5%, Sodium 107mg 5%, Total Carbohydrate 28g 10%, Dietary Fiber 1g 3%, Total Sugars 19g, Protein 2g, Vitamin C 1mg 5%, Calcium 7mg 1%, Iron 1mg 3%, Potassium 41mg 1%",https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg
